run_id	phase	setting	shift_family	severity	application_mode	max_samples	shift_seed
stage5_clean_all_snow_s3_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	snow	s3	cav_shifted_only_rsu_clean		0
stage5_clean_all_snow_stress_all_shifted_seed0	stage5	clean_all	snow	stress	all_shifted		0
stage5_clean_all_snow_stress_rsu_shifted_only_cav_clean_seed0	stage5	clean_all	snow	stress	rsu_shifted_only_cav_clean		0
stage5_clean_all_snow_stress_cav_shifted_only_rsu_clean_seed0	stage5	clean_all	snow	stress	cav_shifted_only_rsu_clean		0
stage6_clean_all_compound_availability_stress_all_shifted_seed0	stage6	clean_all	compound_availability	stress	all_shifted		0
stage6_clean_all_compound_availability_stress_rsu_shifted_only_cav_clean_seed0	stage6	clean_all	compound_availability	stress	rsu_shifted_only_cav_clean		0
stage6_clean_all_compound_availability_stress_cav_shifted_only_rsu_clean_seed0	stage6	clean_all	compound_availability	stress	cav_shifted_only_rsu_clean		0
stage6_clean_all_compound_physical_stress_all_shifted_seed0	stage6	clean_all	compound_physical	stress	all_shifted		0
stage6_clean_all_compound_physical_stress_rsu_shifted_only_cav_clean_seed0	stage6	clean_all	compound_physical	stress	rsu_shifted_only_cav_clean		0
stage6_clean_all_compound_physical_stress_cav_shifted_only_rsu_clean_seed0	stage6	clean_all	compound_physical	stress	cav_shifted_only_rsu_clean		0
stage6_clean_all_compound_photo_comm_stress_all_shifted_seed0	stage6	clean_all	compound_photo_comm	stress	all_shifted		0
stage6_clean_all_compound_photo_comm_stress_rsu_shifted_only_cav_clean_seed0	stage6	clean_all	compound_photo_comm	stress	rsu_shifted_only_cav_clean		0
stage6_clean_all_compound_photo_comm_stress_cav_shifted_only_rsu_clean_seed0	stage6	clean_all	compound_photo_comm	stress	cav_shifted_only_rsu_clean		0
